iter	Passed	Remaining
920	98123	8416
921	98229	8310
922	98351	8204
923	98453	8097
924	98557	7991
925	98656	7884
926	98764	7777
927	98865	7670
928	98970	7563
929	99082	7457
930	99191	7351
931	99304	7245
932	99406	7138
933	99505	7031
934	99617	6925
935	99716	6818
936	99814	6711
937	99905	6603
938	100007	6496
939	100119	6390
940	100221	6283
941	100327	6177
942	100437	6071
943	100556	5965
944	100647	5857
945	100769	5752
946	100884	5646
947	100995	5539
948	101087	5432
949	101198	5326
950	101295	5219
951	101413	5113
952	101516	5006
953	101620	4899
954	101739	4794
955	101839	4687
956	101953	4580
957	102052	4474
958	102162	4367
959	102266	4261
960	102378	4154
961	102488	4048
962	102599	3942
963	102704	3835
964	102813	3728
965	102930	3622
966	103055	3516
967	103160	3410
968	103270	3303
969	103381	3197
970	103493	3090
971	103594	2984
972	103687	2877
973	103789	2770
974	103890	2663
975	103988	2557
976	104120	2451
977	104217	2344
978	104330	2237
979	104447	2131
980	104596	2025
981	104715	1919
982	104830	1812
983	104934	1706
984	105046	1599
985	105151	1493
986	105268	1386
987	105367	1279
988	105474	1173
989	105584	1066
990	105708	960
991	105807	853
992	105899	746
993	105997	639
994	106108	533
995	106200	426
996	106299	319
997	106398	213
998	106506	106
999	106603	0
