iter	MultiClass
0	0.8929956643
1	0.7461180407
2	0.6344064943
3	0.5463587861
4	0.4749991491
5	0.4163353552
6	0.3671911907
7	0.3257805425
8	0.290671578
9	0.2605176557
10	0.2345630244
11	0.2121662901
12	0.1927856182
13	0.1759332297
14	0.161226584
15	0.148395948
16	0.1371332819
17	0.1273286009
18	0.1187203954
19	0.1111692499
20	0.1045348755
21	0.09865980879
22	0.09348854807
23	0.08899782994
24	0.08499343642
25	0.08166549347
26	0.07856943432
27	0.0758519209
28	0.0734486811
29	0.07131719341
30	0.0694912591
31	0.06783964591
32	0.06639466787
33	0.06518233403
34	0.06406323587
35	0.06307654064
36	0.06219904898
37	0.06142787091
38	0.06073622711
39	0.06012182988
40	0.05965358189
41	0.05919788143
42	0.05879156929
43	0.05842710157
44	0.05814123577
45	0.05782111924
46	0.05763404679
47	0.05739207147
48	0.05721912514
49	0.0570678779
50	0.05687114364
51	0.05671767288
52	0.0565851774
53	0.05645791177
54	0.05641408905
55	0.05629568286
56	0.05621468115
57	0.05610105455
58	0.05605124063
59	0.05597149851
60	0.05592620323
61	0.05585469904
62	0.05580793338
63	0.0557856983
64	0.05572685922
65	0.05564386796
66	0.05558663848
67	0.05555454597
68	0.05551840611
69	0.05548497081
70	0.05544142971
71	0.05541943474
72	0.05538762124
73	0.05535262866
74	0.05531675862
75	0.05528932341
76	0.05524986776
77	0.05522941763
78	0.05521762719
79	0.05518415349
80	0.05515135534
81	0.05514023925
82	0.05512492843
83	0.0551032376
84	0.05508559182
85	0.05506482004
86	0.05504524942
87	0.05503450188
88	0.05502098702
89	0.05500399798
90	0.05498409555
91	0.05496458333
92	0.05494661574
93	0.0549154682
94	0.05489972545
95	0.05488648534
96	0.05485797902
97	0.05482915889
98	0.05481777628
99	0.05479857075
100	0.05477729784
101	0.05475802713
102	0.0547478201
103	0.05473758818
104	0.05469819585
105	0.05468814506
106	0.05466981016
107	0.05466051932
108	0.05464689684
109	0.0546299946
110	0.0546249775
111	0.05461812345
112	0.05460261109
113	0.05459153912
114	0.05457424759
115	0.05456722575
116	0.05455056905
117	0.05452706154
118	0.05451356397
119	0.05449781094
120	0.05447950385
121	0.05446697905
122	0.05445556905
123	0.05444224325
124	0.05442688911
125	0.05441129048
126	0.05439821509
127	0.05439134906
128	0.05437369558
129	0.05436539932
130	0.05435971167
131	0.05434467133
132	0.05433130025
133	0.05431886432
134	0.05430756375
135	0.05429316582
136	0.05427906076
137	0.05426974701
138	0.05425516199
139	0.05424489739
140	0.0542216705
141	0.05420050782
142	0.05419055645
143	0.05418101755
144	0.05416894102
145	0.05415891114
146	0.05414982534
147	0.05413650409
148	0.05412797454
149	0.05411627248
150	0.05410645397
151	0.05410202948
152	0.05409192084
153	0.05407992841
154	0.05406849716
155	0.05405951378
156	0.0540478511
157	0.05403614429
158	0.05402713927
159	0.05401852225
160	0.0539960282
161	0.05397456806
162	0.05396463592
163	0.05394546063
164	0.05392660381
165	0.05392087511
166	0.05390650358
167	0.05389852345
168	0.05388751782
169	0.05388041093
170	0.05387404088
171	0.05386336052
172	0.0538525131
173	0.05384570161
174	0.05383282017
175	0.05382041111
176	0.05380777457
177	0.05379659056
178	0.05378373305
179	0.05376816313
180	0.05375813667
181	0.05374886326
182	0.05373694914
183	0.05372244917
184	0.05371715653
185	0.05371037871
186	0.05370547586
187	0.05369257971
188	0.05368067061
189	0.05367510632
190	0.05366696812
191	0.05365976475
192	0.05365106615
193	0.0536426568
194	0.053634217
195	0.05362900668
196	0.05362017792
197	0.05360781868
198	0.05359616413
199	0.05358151375
200	0.05357617798
201	0.05356949549
202	0.05355579136
203	0.05353672235
204	0.05353032937
205	0.05352549478
206	0.05351819635
207	0.05351004096
208	0.05350550487
209	0.05348591806
210	0.05347524842
211	0.05346577468
212	0.05345582255
213	0.05345050108
214	0.0534441977
215	0.05343565943
216	0.05343009785
217	0.05342185732
218	0.05341223796
219	0.0534069343
220	0.05339971658
221	0.05339607546
222	0.05339053268
223	0.0533832746
224	0.05337512181
225	0.05336402254
226	0.05334773533
227	0.05333897614
228	0.0533351455
229	0.05332821027
230	0.05331969613
231	0.05330485528
232	0.05329804549
233	0.05328932239
234	0.05326986092
235	0.05326446763
236	0.05325749921
237	0.05325008546
238	0.05324279521
239	0.05322692874
240	0.05322047516
241	0.05321468249
242	0.0532082238
243	0.05320360167
244	0.05320048923
245	0.05319554797
246	0.05318355101
247	0.05317507735
248	0.05316852281
249	0.05316288231
250	0.05314629293
251	0.05313689294
252	0.05312579487
253	0.0531105789
254	0.05309977376
255	0.05309612408
256	0.05308352158
257	0.05307592522
258	0.05306454506
259	0.05305444957
260	0.05304782819
261	0.05303826136
262	0.05302670873
263	0.05302214961
264	0.05301856597
265	0.05301129696
266	0.05300474079
267	0.05299930389
268	0.05299090169
269	0.05298764506
270	0.05297794513
271	0.05296717769
272	0.05294815771
273	0.0529443736
274	0.05293558512
275	0.05292790576
276	0.05292346707
277	0.05291715775
278	0.05290861915
279	0.05290030819
280	0.05289717698
281	0.05289023582
282	0.05288622308
283	0.05288095749
284	0.05287699386
285	0.05286772564
286	0.05286377199
287	0.05285786191
288	0.05285366694
289	0.05284638537
290	0.05283989154
291	0.05283449103
292	0.05282638446
293	0.05282210929
294	0.05281572176
295	0.05280612739
296	0.05279832488
297	0.05279046793
298	0.05278476286
299	0.05277961138
300	0.05277439877
301	0.05276715193
302	0.05276229671
303	0.05275484111
304	0.05274945126
305	0.05274425704
306	0.0527371745
307	0.05273079663
308	0.05272171844
309	0.05271863088
310	0.05271394204
311	0.05270831907
312	0.05269328901
313	0.05268314326
314	0.05267553796
315	0.05266656095
316	0.05265888973
317	0.05264760192
318	0.052642155
319	0.05263023432
320	0.05262152643
321	0.05260958093
322	0.0526027138
323	0.0525970613
324	0.05259118694
325	0.05257819742
326	0.052574645
327	0.0525709715
328	0.05256499888
329	0.0525593356
330	0.05255311317
331	0.05254476096
332	0.05253618255
333	0.05252520097
334	0.0525186086
335	0.05251113455
336	0.05250156302
337	0.05249271115
338	0.05248384128
339	0.05247794447
340	0.0524712732
341	0.05246332458
342	0.05245772196
343	0.05245222092
344	0.05244484358
345	0.05243557337
346	0.05243006515
347	0.05241687766
348	0.05241119778
349	0.05240774409
350	0.05240200485
351	0.05239279746
352	0.0523829949
353	0.05237834798
354	0.05236832729
355	0.05236208415
356	0.05235654882
357	0.05235018593
358	0.05234367872
359	0.05233243598
360	0.05232594478
361	0.05232016427
362	0.05231287583
363	0.05230580913
364	0.05230058039
365	0.05229314051
366	0.05228581736
367	0.05227987026
368	0.0522755615
369	0.05226972369
370	0.05226666523
371	0.05226298737
372	0.05225408884
373	0.05224339438
374	0.0522389016
375	0.05223475925
376	0.05222775302
377	0.0522250519
378	0.05221883737
379	0.05221540762
380	0.05221393913
381	0.05220709551
382	0.0521989534
383	0.05219558133
384	0.05218701826
385	0.0521824147
386	0.05217381444
387	0.05216600612
388	0.05215784641
389	0.05215270285
390	0.0521460495
391	0.05214211917
392	0.05213694848
393	0.0521315174
394	0.05212734641
395	0.05212284724
396	0.05211678867
397	0.05211109288
398	0.05210245621
399	0.0520940438
400	0.05208598904
401	0.05208125082
402	0.05207675125
403	0.05207120355
404	0.05206325836
405	0.05205179964
406	0.05204781853
407	0.0520447294
408	0.05204146061
409	0.05203673328
410	0.05203256661
411	0.05202404514
412	0.05201709077
413	0.05201163225
414	0.05200064551
